asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	KQZ2468_2	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	Plant004013	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	Plant007038	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	Plant006076
Zotu201	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	4	0	0	1	0	0	0
Zotu562	0	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5258	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu247	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	0	0	5	0	0	0	0	0	0	1	0	0	8	2	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	3	0	0	0	5	0	0	3	0	1	0	0	0	0	0	0	0	9	0	51	2	0	0	0	0	0	0	0	1	20	0	0	0
Zotu309	0	0	1	0	22	0	0	35	0	0	0	0	0	0	10	6	18	0	1	0	0	68	0	0	0	0	3	0	16	6	20	0	0	2	2	0	84	0	10	0	0	23	0	0	0	0	0	56	0	12	13	18	4	37	1	0	0	0	0	7	2	0	18	17	1	0	5	0	0	0	0	7	4	1	0	1	0	0	0	46	1	53	2	34	10	23	0	2
Zotu216	0	0	12	0	0	0	0	0	0	0	0	0	0	0	10	41	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	6	0	0	0	0	0	0	0	19	64	0	0	0
Zotu223	0	0	3	0	1	0	0	12	0	0	0	0	2	0	1	0	13	0	0	0	0	7	0	0	0	0	0	0	0	7	3	0	0	0	0	0	22	0	0	0	0	5	0	0	0	0	0	35	0	5	0	1	0	11	0	0	4	0	1	0	0	0	14	0	0	0	1	0	0	0	0	7	0	1	0	8	0	0	0	35	0	0	0	20	10	1	0	0
Zotu51	0	0	72	0	17	0	0	1	1	0	0	0	0	1	8	21	0	0	0	0	0	0	0	0	0	100	0	1	0	0	0	1	0	0	0	0	3	0	42	0	0	0	1	0	0	0	0	1	529	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	4
Zotu180	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	1	0	1	0	0	0	0	1
Zotu61	0	0	45	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	98	0	13	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	484	0	0	0	0	0	0	110	0	0	0	0	0	0
Zotu4944	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu346	0	0	4	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	1	0	0	3	0	0	0	0	1	0	458	1	0	1	0	1	1	0	1164	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	1	0	0	0	0	0	0	0
Zotu5639	0	0	8	1	28	1	0	13	0	0	0	0	0	3	4	1	7	1	2	0	0	7	0	0	1	0	0	0	9	9	6	0	0	1	3	0	32	0	5	1	0	9	0	0	1	2	0	23	0	14	1	18	3	5	0	0	0	1	0	1	5	0	25	6	1	0	4	0	0	0	0	9	0	1	0	1	0	0	0	34	0	21	2	19	12	0	1	0
