	NC_pcr003	NC_pcr001	NC_pcr002
Zotu719	0	0	0
Zotu341	0	0	0
Zotu773	0	0	0
Zotu1151	0	0	0
Zotu358	0	0	0
Zotu973	0	0	0
Zotu722	0	0	0
Zotu186	0	0	0
Zotu574	0	0	0
Zotu359	0	0	0
Zotu754	0	0	0
Zotu151	0	0	0
Zotu474	0	0	0
Zotu300	0	0	0
Zotu317	0	0	0
Zotu1136	0	0	0
Zotu347	0	0	0
Zotu322	0	0	0
Zotu1032	0	0	0
Zotu746	0	0	0
Zotu308	0	0	0
Zotu1025	0	0	0
Zotu108	0	0	0
Zotu451	0	0	0
Zotu1033	0	0	0
Zotu238	0	0	0
Zotu1146	0	0	0
Zotu342	0	0	0
Zotu161	0	0	0
Zotu1030	0	0	0
Zotu1031	0	0	0
Zotu118	0	0	0
Zotu1148	0	0	0
Zotu288	0	0	0
Zotu397	0	0	0
Zotu1149	0	0	0
Zotu617	0	0	0
Zotu484	0	0	0
Zotu241	0	0	0
Zotu90	0	0	0
Zotu293	0	0	0
Zotu486	0	0	0
Zotu743	0	0	0
Zotu158	0	0	0
Zotu1158	0	0	0
Zotu748	0	0	0
Zotu590	0	0	0
Zotu291	0	0	0
Zotu578	0	0	0
Zotu826	0	0	0
Zotu993	0	0	0
Zotu369	0	0	0
Zotu1161	0	0	0
Zotu705	0	0	0
Zotu363	0	0	0
Zotu412	0	0	0
Zotu878	0	0	0
Zotu411	0	0	0
Zotu112	0	0	0
Zotu956	0	0	0
Zotu371	0	0	0
Zotu627	0	0	0
Zotu1113	0	0	0
Zotu904	0	0	0
Zotu902	0	0	0
Zotu386	0	0	0
Zotu1169	0	0	0
Zotu199	0	0	0
Zotu1171	0	0	0
Zotu886	0	0	0
Zotu898	0	0	0
Zotu544	0	0	0
Zotu279	0	0	0
Zotu453	0	0	0
Zotu745	0	0	0
Zotu376	0	1	0
Zotu339	0	0	0
Zotu1095	0	0	0
Zotu831	0	0	0
Zotu388	0	0	0
Zotu566	0	0	0
Zotu452	0	0	0
Zotu935	0	0	0
Zotu444	0	0	1
Zotu147	0	0	0
Zotu1035	0	0	0
Zotu990	0	0	0
Zotu498	0	0	0
Zotu950	0	0	0
Zotu614	0	0	0
Zotu442	0	0	0
Zotu805	0	0	0
Zotu751	0	0	0
Zotu459	0	0	0
Zotu955	0	0	0
Zotu407	0	0	0
Zotu314	0	0	0
Zotu967	0	0	0
