	NC_kit1	NC_kit2
Zotu3429	0	0
Zotu3430	0	0
Zotu1911	0	0
Zotu5208	0	0
Zotu5759	0	0
Zotu3930	0	0
Zotu229	0	0
Zotu410	0	0
Zotu2706	0	2
Zotu765	0	0
Zotu1023	0	0
Zotu1940	0	0
Zotu2651	0	0
Zotu715	0	0
Zotu4581	0	0
Zotu345	0	5
Zotu2958	0	0
Zotu1353	0	0
Zotu1553	0	0
Zotu432	0	9
Zotu1159	0	1
Zotu2210	0	0
Zotu3912	0	0
Zotu3338	0	0
Zotu3993	0	0
Zotu726	0	4
Zotu2744	0	0
Zotu1352	0	0
Zotu385	0	0
Zotu2529	0	0
Zotu638	0	4
Zotu1037	0	0
Zotu4115	0	0
Zotu846	0	0
Zotu1206	0	0
Zotu2391	0	0
Zotu1855	0	0
Zotu2845	0	0
Zotu2774	0	0
Zotu516	0	0
Zotu4244	0	0
Zotu1619	0	0
Zotu4926	0	0
Zotu1677	0	0
Zotu261	0	39
Zotu2297	0	0
Zotu1495	0	0
Zotu2736	0	0
Zotu4273	0	0
Zotu2728	0	0
Zotu499	0	0
Zotu2725	0	0
Zotu3249	0	0
Zotu89	0	8
Zotu4372	0	0
Zotu344	0	0
Zotu1049	0	0
Zotu4271	0	0
Zotu4299	0	0
Zotu466	0	5
Zotu1640	0	0
Zotu32	0	199
Zotu1607	0	0
Zotu4585	0	0
Zotu2393	0	0
Zotu2506	0	0
Zotu4360	0	0
Zotu5419	0	0
Zotu1535	0	0
Zotu3810	0	0
Zotu1492	0	0
Zotu3804	0	0
Zotu5782	0	0
Zotu1175	0	0
Zotu4617	0	0
Zotu2601	0	0
Zotu4455	0	0
Zotu3855	0	0
Zotu1729	0	0
Zotu5191	0	0
Zotu4740	0	0
Zotu1986	0	0
Zotu5712	0	0
Zotu5711	0	0
Zotu1374	0	0
Zotu1501	0	1
Zotu1139	0	0
Zotu5840	0	0
Zotu4750	0	0
Zotu4475	0	0
Zotu4057	0	0
Zotu1357	0	0
Zotu2198	0	0
Zotu4910	0	0
Zotu4859	0	1
Zotu4351	0	0
Zotu758	0	0
Zotu101	0	9
Zotu5530	0	0
Zotu3955	0	0
Zotu1336	0	0
Zotu2631	0	0
Zotu628	0	0
Zotu414	0	0
Zotu1608	0	0
Zotu739	0	0
Zotu3963	0	0
