OTUID	Taxon	Confidence
ae32a9f38e84427b87b211ef20ae0593	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__	0.9999761616759513
983348757fc8a43d920e14fc283c71d2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9994976863669242
215c8d829c0e577349e9e99cad607a68	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999564749450425
c203d0ec216210a2c239ccba97fa100a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.9985306659281827
00a84ed4f27dc19890fcce7121ad00cf	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius	0.8169744295248335
c23e6dbe9075e73ccbe6eb0080801453	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.9816000896771917
241ea145d1b8f3f4ff28debad9f902a2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.8322639918380946
519f87fc80f92dc56652f8468abc56be	k__Bacteria	0.9999999978716688
b498358fbb5ec3b7c1887923f6d52511	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.9999996492068204
901510e90b0c33af242552ca679538a4	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.742918579551554
3989177e301825ee98831a144966fc47	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.7963087406470853
1fa342be63d6d895d73b60aaab350a75	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9998628634398915
99f85d7199977281379d2b88714c9281	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.8120468126535434
1cf1f5f703655661e144677e553344c8	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.8291055160205149
6a827c3905ead53936fd974dbcb2481a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__; s__	0.7160499541586788
32f0b566e33c2dfd3a50d0fe5fb36f93	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997049656809618
65739874d7be9c0e9d1dcc5bd7da5d9b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.8925964412659212
17be1495dc1fc887da73a1e98e453723	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999710335924098
65988896e916fad4cd010016fb04422e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.9991794570139486
adab80dc05a4d98de14e3ff7c24aad10	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9998585433757663
7a5783a140cdc01a5abad8edf7829ef5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.7706020523534491
f3f1190988ffe7bcba61b1e6fd3ef172	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9996157546977066
30930364ce060d3805a6f6c65fa3c0a0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__cecorum	0.9995815690329017
27b83ac6fbb993a8c684064abf3784ee	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__vaginalis	0.9928394092248539
c5d4ea56270b983efc235268320a4b19	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__	0.9673227066873576
2e0f890df25799d2ca037f8f1b922631	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.8757993004923662
445a8d76926e7aea3d3b8ccca97790a9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.7963481525632571
2c34b9569cca09cd6c96ab247f000c7e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__	0.9997354057281458
7733a9b6c9e377b9285cff10e46236a0	k__Bacteria; p__TM7; c__TM7-3; o__; f__; g__; s__	0.9168644412329313
5bb74e441d96e9d0d998ee6f3a7a251a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.7708055912226278
7673cef95604002d7f5f1bc2f8099bb3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__	0.9999878038017531
1d0171be54f3bffea8baded1cfcea093	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9808645897652931
2dd1d482ad0ef1debdefbeb3142ce067	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9995565568098005
3251aaebb3713b0112ed03bad7c5a8c4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__vaginalis	0.9897313648069168
e5daa9419e78323f82a7c0dfc117840f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.9069321978863509
971e633fe9a09a330a6b9f9ae20606bd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Peptococcus; s__	0.990266556551566
0eafd952d4f9c4eb495cdef98c5ae50b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999640332849912
6ce9474d2db1e62f3f289f0a7ed4b475	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__	0.9587062445496505
296441da35f1144f3fbba3102cda3f62	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__vaginalis	0.8965150069516546
cf7b11732a0a3ea630ecd7146d10f6c4	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9998182847252425
145a78e58c12bb618a4f807d1c3bce3b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__alactolyticus	0.708168837512092
b5de7a0d0c732436f93695993ea307b6	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9996959236290267
026ee82f43ed31a6bdc2007bcec8eb00	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.9377220469976589
94e2c18bb7499b1e2a331f455b4535aa	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0.8413203474938272
42bd97091382f7e85325669032a97c96	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.8008159128517068
db18e22254956d9ddb84c6fcb5bfef27	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.999999991648416
844c48962b2530a772c7639c3391152d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999663394828099
5414556329b0cded9ecfe5e11302f2aa	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__hyovaginalis	0.7531843546441223
de9272c37ddd8ad7550ed9d704e3869a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.8535382266693269
7c53e4e8eb140bace8bbea7994465cb9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.7940358022563356
e394e715d6867a3c52ed897d06392dcf	k__Bacteria; p__; c__; o__; f__; g__; s__	0.8236002428504247
1c5ffdb6b9c27a95ba0a55141328014b	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__p-75-a5; s__	0.9999663360038525
aabb2c287140e273c49f0fb9c851b70c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.997483244861736
0ae24a9436253c57cd385b4ebe64984e	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.8173259495195253
29866d8b97edcf6e14ace3bb263d8140	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.9988618251602567
ffa8d8910d0854952a8c9aea24745097	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.9991780796405121
5583bebcd553939c46a2eb28cd1a84a6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999630253379906
a328ec54caa9e0a3efa96a93f3215e48	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.9993725579160208
24b67243d19fdc1ab3f7f5cd8cdc9831	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__vaginalis	0.8732000604765221
e978671a4db9eefb3985c44351143431	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	0.9974799504010374
